id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,,
4524,825,Visa,Debit,4344676511950440,Dec-22,623,YES,2,$24295,Sep-02,2008,,
2731,825,Visa,Debit,4956965974959980,Dec-20,393,YES,2,$21968,Apr-14,2014,,
3701,825,Visa,Debit,4582313478255490,Feb-24,719,YES,2,$46414,Jul-03,2004,,
42,825,Visa,Credit,4879494103069050,Aug-24,693,NO,1,$12400,Jan-03,2012,,
4659,825,Mastercard,Debit (Prepaid),5722874738736010,Mar-09,75,YES,1,$28,Sep-08,2009,,
4537,1746,Visa,Credit,4404898874682990,Sep-03,736,YES,1,$27500,Sep-03,2012,,
1278,1746,Visa,Debit,4001482973848630,Jul-22,972,YES,2,$28508,Feb-11,2011,,
3687,1746,Mastercard,Debit,5627220683410940,Jun-22,48,YES,2,$9022,Jul-03,2015,,
3465,1746,Mastercard,Debit (Prepaid),5711382187309320,Nov-20,722,YES,2,$54,Jun-10,2015,,
3754,1746,Mastercard,Debit (Prepaid),5766121508358700,Feb-23,908,YES,1,$99,Jul-06,2012,,
5144,1718,Mastercard,Debit,5495199163052050,Mar-22,677,YES,2,$31599,Oct-09,2009,,
2029,1718,Mastercard,Debit,5804499644308590,Jul-23,258,NO,2,$27480,Mar-02,2008,,
2379,1718,Mastercard,Debit,5766352389579830,Feb-20,992,YES,1,$26743,Mar-19,2019,,
2732,1718,Visa,Debit,4242015583697290,Jun-20,928,YES,1,$31463,Apr-14,2014,,
4706,1718,Mastercard,Debit,5191030913182490,Jun-24,360,YES,1,$16055,Sep-09,2009,,
281,708,Visa,Credit,4017261190134810,May-15,877,YES,2,$98100,Jan-11,2011,,
1106,708,Mastercard,Debit (Prepaid),5581970288727990,Jun-20,448,YES,1,$62,Feb-07,2007,,
5621,708,Visa,Debit,4032240655674500,Jun-22,53,YES,1,$132439,Nov-10,2011,,
5165,708,Visa,Debit,4935974646456350,Jun-20,649,YES,1,$125723,Oct-09,2010,,
5757,1164,Mastercard,Debit,5905027855347650,Jan-22,886,YES,1,$34900,Dec-99,2012,,
27,68,Visa,Credit,4099623033306950,Sep-21,74,YES,2,$9900,Jan-02,2019,,
4648,68,Visa,Debit,4281200324251210,Jul-13,865,YES,2,$21587,Sep-07,2007,,
5435,68,Visa,Credit,4411456925570760,Nov-22,922,YES,2,$15800,Nov-05,2011,,
3287,1075,Mastercard,Debit,5202477865497330,Apr-22,861,YES,1,$29964,Jun-05,2014,,
4761,1075,Mastercard,Credit,5089768442116300,Jul-23,686,YES,2,$11200,Sep-10,2010,,
5286,1075,Mastercard,Debit,5767339719294370,Dec-21,669,NO,2,$26753,Oct-14,2014,,
744,1711,Visa,Debit,4595831603224640,May-23,689,NO,2,$17480,Jan-20,2020,,
5559,1116,Mastercard,Debit,5341049613275150,Sep-21,396,YES,2,$26546,Nov-09,2009,,
4905,1116,Mastercard,Debit,5668831527649350,Jan-21,356,YES,1,$23253,Sep-17,2017,,
79,1116,Visa,Credit,4400056931148230,Feb-21,497,YES,1,$16100,Jan-05,2014,,
301,1116,Visa,Credit,4808554251869440,Feb-21,921,YES,2,$8700,Jan-12,2012,,
3115,1116,Mastercard,Debit,5224739362243610,Jan-19,922,YES,1,$29333,May-12,2012,,
3880,1752,Mastercard,Debit,5294178176133530,Jul-24,265,YES,2,$9496,Jul-09,2012,,
1766,192,Visa,Debit,4857799018106610,Jul-21,930,YES,1,$25499,Feb-20,2020,,
1767,192,Visa,Debit,4324062360619920,Feb-20,358,YES,1,$18641,Feb-20,2020,,
745,640,Visa,Debit,4852639114720720,May-23,995,YES,1,$26019,Jan-20,2020,,
1459,1679,Mastercard,Debit,5656383455895230,Jan-21,547,YES,1,$25845,Feb-20,2020,,
138,1094,Visa,Debit,4556928160477220,Jun-23,64,YES,2,$2365,Jan-07,2009,,
3755,1094,Mastercard,Debit,5515782790823580,Jun-23,419,YES,2,$18684,Jul-06,2017,,
1768,1094,Visa,Credit,4508388296516450,Feb-21,364,NO,2,$7400,Feb-20,2020,,
5924,1590,Mastercard,Debit,5548265564669330,Dec-24,145,YES,2,$4147,Dec-08,2016,,
6074,1660,Visa,Debit (Prepaid),4986270376099440,Apr-22,385,YES,1,$76,Dec-12,2012,,
5923,1660,Discover,Credit,6726060094896110,Jan-09,105,NO,1,$4700,Dec-08,2014,,
4223,1660,Visa,Credit,4157109762296140,Jun-21,433,YES,2,$5800,Aug-07,2011,,
4455,1660,Mastercard,Debit,5231462717450520,Mar-24,754,YES,2,$12082,Aug-16,2016,,
3234,1660,Mastercard,Credit,5074836567307560,Mar-23,741,NO,2,$6000,Jun-02,2010,,
1005,1660,Visa,Debit,4986369179342270,Nov-09,367,YES,1,$620,Feb-02,2014,,
151,1747,Mastercard,Debit,5892013969159900,Aug-22,879,YES,1,$14499,Jan-08,2008,,
4198,1747,Mastercard,Debit,5179157151686140,Jul-23,457,YES,2,$12332,Aug-07,2009,,
4403,1747,Mastercard,Debit,5569640141329520,Sep-24,904,YES,1,$18424,Aug-13,2013,,
4120,1747,Visa,Credit,4708914311449290,Jul-23,149,NO,1,$15400,Aug-03,2008,,
